APPLICATION	TruckMaker 14.0 - Truck_Generic #2 (win64-14.0)
COMPILED	jetbrains@b5882e3d7d42 2024-11-26 13:07:28
 
		I/O Configuration: default
FIRST_INIT	(internal default used)	2025-03-07 16:51:09
TIME	0.000
SIM_END			0s	0m
IDLE	16:51:10
TIME	6.962
SIM_START	TempScenario(Volvo)	2025-03-07 16:52:20
TIME	0.000
SIMULATE	TempScenario(Volvo)

TIME	43.000
		Vel=48.0750   RPM=712.6579   CDF=0.0000
		Vel=48.0302   RPM=706.6769   CDF=0.0000
		Vel=47.9855   RPM=700.6770   CDF=0.0000
		Vel=47.9407   RPM=694.6577   CDF=0.0000
		Vel=47.8958   RPM=688.6188   CDF=0.0000
		Vel=47.8509   RPM=682.5597   CDF=0.0000
		Vel=47.8060   RPM=676.4802   CDF=0.0000
		Vel=47.7610   RPM=670.3799   CDF=0.0000
		Vel=47.7159   RPM=664.2583   CDF=0.0000
		Vel=47.6709   RPM=658.1152   CDF=0.0000
		Vel=47.6258   RPM=651.9502   CDF=0.0000
		Vel=47.5806   RPM=645.7630   CDF=0.0000
		Vel=47.5355   RPM=639.5531   CDF=0.0000
		Vel=47.4903   RPM=633.3200   CDF=0.0000
		Vel=47.4450   RPM=627.0628   CDF=0.0000
		Vel=47.3998   RPM=620.7805   CDF=0.0000
		Vel=47.3546   RPM=614.5817   CDF=0.0000
		Vel=47.3090   RPM=608.6238   CDF=0.0000
		Vel=47.2633   RPM=602.8855   CDF=0.0000
		Vel=47.2176   RPM=597.3347   CDF=0.0000
		Vel=47.1720   RPM=591.9425   CDF=0.0000
		Vel=47.1264   RPM=586.6838   CDF=0.0000
		Vel=47.0808   RPM=581.5366   CDF=0.0000
		Vel=47.0352   RPM=576.4816   CDF=0.0000
		Vel=46.9897   RPM=571.5021   CDF=0.0000
		Vel=46.9442   RPM=566.5835   CDF=0.0000
		Vel=46.8988   RPM=561.7129   CDF=0.0000
		Vel=46.8533   RPM=556.8793   CDF=0.0000
		Vel=46.8080   RPM=552.1081   CDF=0.0000
		Vel=46.7626   RPM=547.8010   CDF=0.0000
		Vel=46.7173   RPM=543.9577   CDF=0.0000
		Vel=46.6720   RPM=540.5255   CDF=0.0000
		Vel=46.6268   RPM=537.4674   CDF=0.0000
		Vel=46.5817   RPM=534.7505   CDF=0.0000
		Vel=46.5365   RPM=532.3449   CDF=0.0000
		Vel=46.4914   RPM=530.2234   CDF=0.0000
		Vel=46.4464   RPM=528.3612   CDF=0.0000
		Vel=46.4014   RPM=526.5770   CDF=0.0000
		Vel=46.3564   RPM=524.4449   CDF=0.0000
		Vel=46.3115   RPM=521.9795   CDF=0.0000
		Vel=46.2667   RPM=519.2120   CDF=0.0000
		Vel=46.2219   RPM=516.1690   CDF=0.0000
		Vel=46.1772   RPM=512.8732   CDF=0.0000
		Vel=46.1325   RPM=509.3441   CDF=0.0000
		Vel=46.0879   RPM=505.5989   CDF=0.0000
		Vel=46.0434   RPM=501.6524   CDF=0.0000
		Vel=45.9989   RPM=497.5180   CDF=0.0000
		Vel=45.9545   RPM=493.2072   CDF=0.0000
		Vel=45.9101   RPM=488.7307   CDF=0.0000
		Vel=45.8658   RPM=484.0978   CDF=0.0000
		Vel=45.8215   RPM=479.3170   CDF=0.0000
		Vel=45.7773   RPM=474.3960   CDF=0.0000
		Vel=45.7331   RPM=469.3418   CDF=0.0000
		Vel=45.6890   RPM=464.1608   CDF=0.0000
		Vel=45.6449   RPM=458.8587   CDF=0.0000
		Vel=45.6009   RPM=453.4410   CDF=0.0000
		Vel=45.5569   RPM=447.9124   CDF=0.0000
		Vel=45.5129   RPM=442.2905   CDF=0.0000
		Vel=45.4690   RPM=436.5909   CDF=0.0000
		Vel=45.4250   RPM=430.8157   CDF=0.0000
		Vel=45.3811   RPM=424.9668   CDF=0.0000
		Vel=45.3372   RPM=419.0462   CDF=0.0000
		Vel=45.2934   RPM=413.0590   CDF=0.0000
		Vel=45.2495   RPM=407.0199   CDF=0.0000
		Vel=45.2057   RPM=400.9304   CDF=0.0000
		Vel=45.1619   RPM=394.7905   CDF=0.0000
		Vel=45.1182   RPM=388.6001   CDF=0.0000
